v_Vel,v_Acc,Space_Headway,Time_Headway,Local_Y,label
1.17,8.56,26.64,22.77,65.481,0
21.29,10.02,0.0,0.0,135.819,1
24.65,0.0,0.0,0.0,109.006,0
25.75,0.0,170.52,6.62,126.034,1
36.22,0.79,0.0,0.0,131.265,0
25.75,0.0,170.52,6.62,126.034,1
36.22,0.79,0.0,0.0,131.265,0
28.29,-0.12,0.0,0.0,129.366,1
22.22,0.0,0.0,0.0,206.187,1
21.29,10.02,0.0,0.0,135.819,1
23.44,-10.02,0.0,0.0,157.538,1
24.65,0.0,0.0,0.0,109.006,0
24.65,0.0,0.0,0.0,109.006,0
25.75,0.0,170.52,6.62,126.034,1
36.22,0.79,0.0,0.0,131.265,0
13.08,8.11,456.29,34.88,104.833,0
36.22,0.79,0.0,0.0,131.265,0
21.29,10.02,0.0,0.0,135.819,1
23.44,-10.02,0.0,0.0,157.538,1
36.22,0.79,0.0,0.0,131.265,0
21.29,10.02,0.0,0.0,135.819,1
1.17,8.56,26.64,22.77,65.481,0
0.0,0.0,0.0,0.0,128.31,0
23.44,-10.02,0.0,0.0,157.538,1
24.65,0.0,0.0,0.0,109.006,0
1.17,8.56,26.64,22.77,65.481,0
24.65,0.0,0.0,0.0,109.006,0
36.22,0.79,0.0,0.0,131.265,0
13.08,8.11,456.29,34.88,104.833,0
13.08,8.11,456.29,34.88,104.833,0
22.22,0.0,0.0,0.0,206.187,1
21.29,10.02,0.0,0.0,135.819,1
0.0,0.0,0.0,0.0,128.31,0
36.22,0.79,0.0,0.0,131.265,0
23.44,-10.02,0.0,0.0,157.538,1
28.29,-0.12,0.0,0.0,129.366,1
28.29,-0.12,0.0,0.0,129.366,1
36.22,0.79,0.0,0.0,131.265,0
36.22,0.79,0.0,0.0,131.265,0
0.0,0.0,0.0,0.0,128.31,0
36.22,0.79,0.0,0.0,131.265,0
25.75,0.0,170.52,6.62,126.034,1
0.0,0.0,0.0,0.0,128.31,0
13.08,8.11,456.29,34.88,104.833,0
0.0,0.0,0.0,0.0,128.31,0
25.75,0.0,170.52,6.62,126.034,1
25.75,0.0,170.52,6.62,126.034,1
28.29,-0.12,0.0,0.0,129.366,1
28.29,-0.12,0.0,0.0,129.366,1
13.08,8.11,456.29,34.88,104.833,0
13.08,8.11,456.29,34.88,104.833,0
21.29,10.02,0.0,0.0,135.819,1
1.17,8.56,26.64,22.77,65.481,0
0.0,0.0,0.0,0.0,128.31,0
25.75,0.0,170.52,6.62,126.034,1
28.29,-0.12,0.0,0.0,129.366,1
0.0,0.0,0.0,0.0,128.31,0
22.22,0.0,0.0,0.0,206.187,1
23.44,-10.02,0.0,0.0,157.538,1
24.65,0.0,0.0,0.0,109.006,0
23.44,-10.02,0.0,0.0,157.538,1
23.44,-10.02,0.0,0.0,157.538,1
13.08,8.11,456.29,34.88,104.833,0
21.29,10.02,0.0,0.0,135.819,1
28.29,-0.12,0.0,0.0,129.366,1
23.44,-10.02,0.0,0.0,157.538,1
13.08,8.11,456.29,34.88,104.833,0
0.0,0.0,0.0,0.0,128.31,0
25.75,0.0,170.52,6.62,126.034,1
22.22,0.0,0.0,0.0,206.187,1
22.22,0.0,0.0,0.0,206.187,1
21.29,10.02,0.0,0.0,135.819,1
21.29,10.02,0.0,0.0,135.819,1
0.0,0.0,0.0,0.0,128.31,0
0.0,0.0,0.0,0.0,128.31,0
22.22,0.0,0.0,0.0,206.187,1
0.0,0.0,0.0,0.0,128.31,0
24.65,0.0,0.0,0.0,109.006,0
13.08,8.11,456.29,34.88,104.833,0
28.29,-0.12,0.0,0.0,129.366,1
25.75,0.0,170.52,6.62,126.034,1
22.22,0.0,0.0,0.0,206.187,1
28.29,-0.12,0.0,0.0,129.366,1
21.29,10.02,0.0,0.0,135.819,1
24.65,0.0,0.0,0.0,109.006,0
22.22,0.0,0.0,0.0,206.187,1
25.75,0.0,170.52,6.62,126.034,1
25.75,0.0,170.52,6.62,126.034,1
25.75,0.0,170.52,6.62,126.034,1
21.29,10.02,0.0,0.0,135.819,1
0.0,0.0,0.0,0.0,128.31,0
23.44,-10.02,0.0,0.0,157.538,1
36.22,0.79,0.0,0.0,131.265,0
36.22,0.79,0.0,0.0,131.265,0
0.0,0.0,0.0,0.0,128.31,0
24.65,0.0,0.0,0.0,109.006,0
22.22,0.0,0.0,0.0,206.187,1
25.75,0.0,170.52,6.62,126.034,1
13.08,8.11,456.29,34.88,104.833,0
1.17,8.56,26.64,22.77,65.481,0
24.65,0.0,0.0,0.0,109.006,0
25.75,0.0,170.52,6.62,126.034,1
36.22,0.79,0.0,0.0,131.265,0
23.44,-10.02,0.0,0.0,157.538,1
25.75,0.0,170.52,6.62,126.034,1
24.65,0.0,0.0,0.0,109.006,0
28.29,-0.12,0.0,0.0,129.366,1
13.08,8.11,456.29,34.88,104.833,0
25.75,0.0,170.52,6.62,126.034,1
24.65,0.0,0.0,0.0,109.006,0
21.29,10.02,0.0,0.0,135.819,1
13.08,8.11,456.29,34.88,104.833,0
24.65,0.0,0.0,0.0,109.006,0
13.08,8.11,456.29,34.88,104.833,0
23.44,-10.02,0.0,0.0,157.538,1
21.29,10.02,0.0,0.0,135.819,1
21.29,10.02,0.0,0.0,135.819,1
1.17,8.56,26.64,22.77,65.481,0
1.17,8.56,26.64,22.77,65.481,0
24.65,0.0,0.0,0.0,109.006,0
36.22,0.79,0.0,0.0,131.265,0
24.65,0.0,0.0,0.0,109.006,0
1.17,8.56,26.64,22.77,65.481,0
21.29,10.02,0.0,0.0,135.819,1
28.29,-0.12,0.0,0.0,129.366,1
22.22,0.0,0.0,0.0,206.187,1
23.44,-10.02,0.0,0.0,157.538,1
24.65,0.0,0.0,0.0,109.006,0
23.44,-10.02,0.0,0.0,157.538,1
0.0,0.0,0.0,0.0,128.31,0
1.17,8.56,26.64,22.77,65.481,0
1.17,8.56,26.64,22.77,65.481,0
0.0,0.0,0.0,0.0,128.31,0
25.75,0.0,170.52,6.62,126.034,1
21.29,10.02,0.0,0.0,135.819,1
13.08,8.11,456.29,34.88,104.833,0
28.29,-0.12,0.0,0.0,129.366,1
23.44,-10.02,0.0,0.0,157.538,1
28.29,-0.12,0.0,0.0,129.366,1
0.0,0.0,0.0,0.0,128.31,0
24.65,0.0,0.0,0.0,109.006,0
36.22,0.79,0.0,0.0,131.265,0
28.29,-0.12,0.0,0.0,129.366,1
0.0,0.0,0.0,0.0,128.31,0
24.65,0.0,0.0,0.0,109.006,0
36.22,0.79,0.0,0.0,131.265,0
0.0,0.0,0.0,0.0,128.31,0
36.22,0.79,0.0,0.0,131.265,0
21.29,10.02,0.0,0.0,135.819,1
0.0,0.0,0.0,0.0,128.31,0
0.0,0.0,0.0,0.0,128.31,0
1.17,8.56,26.64,22.77,65.481,0
13.08,8.11,456.29,34.88,104.833,0
13.08,8.11,456.29,34.88,104.833,0
13.08,8.11,456.29,34.88,104.833,0
0.0,0.0,0.0,0.0,128.31,0
22.22,0.0,0.0,0.0,206.187,1
25.75,0.0,170.52,6.62,126.034,1
22.22,0.0,0.0,0.0,206.187,1
22.22,0.0,0.0,0.0,206.187,1
24.65,0.0,0.0,0.0,109.006,0
23.44,-10.02,0.0,0.0,157.538,1
36.22,0.79,0.0,0.0,131.265,0
1.17,8.56,26.64,22.77,65.481,0
25.75,0.0,170.52,6.62,126.034,1
28.29,-0.12,0.0,0.0,129.366,1
25.75,0.0,170.52,6.62,126.034,1
36.22,0.79,0.0,0.0,131.265,0
22.22,0.0,0.0,0.0,206.187,1
24.65,0.0,0.0,0.0,109.006,0
36.22,0.79,0.0,0.0,131.265,0
0.0,0.0,0.0,0.0,128.31,0
28.29,-0.12,0.0,0.0,129.366,1
13.08,8.11,456.29,34.88,104.833,0
25.75,0.0,170.52,6.62,126.034,1
0.0,0.0,0.0,0.0,128.31,0
13.08,8.11,456.29,34.88,104.833,0
1.17,8.56,26.64,22.77,65.481,0
25.75,0.0,170.52,6.62,126.034,1
22.22,0.0,0.0,0.0,206.187,1
28.29,-0.12,0.0,0.0,129.366,1
13.08,8.11,456.29,34.88,104.833,0
1.17,8.56,26.64,22.77,65.481,0
36.22,0.79,0.0,0.0,131.265,0
23.44,-10.02,0.0,0.0,157.538,1
23.44,-10.02,0.0,0.0,157.538,1
22.22,0.0,0.0,0.0,206.187,1
0.0,0.0,0.0,0.0,128.31,0
1.17,8.56,26.64,22.77,65.481,0
24.65,0.0,0.0,0.0,109.006,0
25.75,0.0,170.52,6.62,126.034,1
24.65,0.0,0.0,0.0,109.006,0
28.29,-0.12,0.0,0.0,129.366,1
1.17,8.56,26.64,22.77,65.481,0
25.75,0.0,170.52,6.62,126.034,1
25.75,0.0,170.52,6.62,126.034,1
22.22,0.0,0.0,0.0,206.187,1
0.0,0.0,0.0,0.0,128.31,0
28.29,-0.12,0.0,0.0,129.366,1
23.44,-10.02,0.0,0.0,157.538,1
28.29,-0.12,0.0,0.0,129.366,1
1.17,8.56,26.64,22.77,65.481,0
36.22,0.79,0.0,0.0,131.265,0
25.75,0.0,170.52,6.62,126.034,1
36.22,0.79,0.0,0.0,131.265,0
36.22,0.79,0.0,0.0,131.265,0
21.29,10.02,0.0,0.0,135.819,1
21.29,10.02,0.0,0.0,135.819,1
0.0,0.0,0.0,0.0,128.31,0
25.75,0.0,170.52,6.62,126.034,1
13.08,8.11,456.29,34.88,104.833,0
36.22,0.79,0.0,0.0,131.265,0
25.75,0.0,170.52,6.62,126.034,1
23.44,-10.02,0.0,0.0,157.538,1
28.29,-0.12,0.0,0.0,129.366,1
36.22,0.79,0.0,0.0,131.265,0
1.17,8.56,26.64,22.77,65.481,0
24.65,0.0,0.0,0.0,109.006,0
24.65,0.0,0.0,0.0,109.006,0
23.44,-10.02,0.0,0.0,157.538,1
22.22,0.0,0.0,0.0,206.187,1
23.44,-10.02,0.0,0.0,157.538,1
25.75,0.0,170.52,6.62,126.034,1
22.22,0.0,0.0,0.0,206.187,1
24.65,0.0,0.0,0.0,109.006,0
36.22,0.79,0.0,0.0,131.265,0
22.22,0.0,0.0,0.0,206.187,1
36.22,0.79,0.0,0.0,131.265,0
22.22,0.0,0.0,0.0,206.187,1
36.22,0.79,0.0,0.0,131.265,0
22.22,0.0,0.0,0.0,206.187,1
22.22,0.0,0.0,0.0,206.187,1
0.0,0.0,0.0,0.0,128.31,0
24.65,0.0,0.0,0.0,109.006,0
22.22,0.0,0.0,0.0,206.187,1
13.08,8.11,456.29,34.88,104.833,0
13.08,8.11,456.29,34.88,104.833,0
36.22,0.79,0.0,0.0,131.265,0
24.65,0.0,0.0,0.0,109.006,0
28.29,-0.12,0.0,0.0,129.366,1
22.22,0.0,0.0,0.0,206.187,1
24.65,0.0,0.0,0.0,109.006,0
24.65,0.0,0.0,0.0,109.006,0
13.08,8.11,456.29,34.88,104.833,0
25.75,0.0,170.52,6.62,126.034,1
23.44,-10.02,0.0,0.0,157.538,1
25.75,0.0,170.52,6.62,126.034,1
0.0,0.0,0.0,0.0,128.31,0
21.29,10.02,0.0,0.0,135.819,1
36.22,0.79,0.0,0.0,131.265,0
25.75,0.0,170.52,6.62,126.034,1
24.65,0.0,0.0,0.0,109.006,0
21.29,10.02,0.0,0.0,135.819,1
36.22,0.79,0.0,0.0,131.265,0
24.65,0.0,0.0,0.0,109.006,0
28.29,-0.12,0.0,0.0,129.366,1
21.29,10.02,0.0,0.0,135.819,1
25.75,0.0,170.52,6.62,126.034,1
1.17,8.56,26.64,22.77,65.481,0
1.17,8.56,26.64,22.77,65.481,0
23.44,-10.02,0.0,0.0,157.538,1
22.22,0.0,0.0,0.0,206.187,1
23.44,-10.02,0.0,0.0,157.538,1
13.08,8.11,456.29,34.88,104.833,0
25.75,0.0,170.52,6.62,126.034,1
28.29,-0.12,0.0,0.0,129.366,1
28.29,-0.12,0.0,0.0,129.366,1
28.29,-0.12,0.0,0.0,129.366,1
36.22,0.79,0.0,0.0,131.265,0
22.22,0.0,0.0,0.0,206.187,1
36.22,0.79,0.0,0.0,131.265,0
36.22,0.79,0.0,0.0,131.265,0
28.29,-0.12,0.0,0.0,129.366,1
23.44,-10.02,0.0,0.0,157.538,1
25.75,0.0,170.52,6.62,126.034,1
22.22,0.0,0.0,0.0,206.187,1
21.29,10.02,0.0,0.0,135.819,1
1.17,8.56,26.64,22.77,65.481,0
23.44,-10.02,0.0,0.0,157.538,1
0.0,0.0,0.0,0.0,128.31,0
13.08,8.11,456.29,34.88,104.833,0
23.44,-10.02,0.0,0.0,157.538,1
0.0,0.0,0.0,0.0,128.31,0
1.17,8.56,26.64,22.77,65.481,0
13.08,8.11,456.29,34.88,104.833,0
28.29,-0.12,0.0,0.0,129.366,1
25.75,0.0,170.52,6.62,126.034,1
13.08,8.11,456.29,34.88,104.833,0
0.0,0.0,0.0,0.0,128.31,0
13.08,8.11,456.29,34.88,104.833,0
36.22,0.79,0.0,0.0,131.265,0
22.22,0.0,0.0,0.0,206.187,1
13.08,8.11,456.29,34.88,104.833,0
25.75,0.0,170.52,6.62,126.034,1
24.65,0.0,0.0,0.0,109.006,0
0.0,0.0,0.0,0.0,128.31,0
21.29,10.02,0.0,0.0,135.819,1
23.44,-10.02,0.0,0.0,157.538,1
36.22,0.79,0.0,0.0,131.265,0
24.65,0.0,0.0,0.0,109.006,0
13.08,8.11,456.29,34.88,104.833,0
22.22,0.0,0.0,0.0,206.187,1
1.17,8.56,26.64,22.77,65.481,0
24.65,0.0,0.0,0.0,109.006,0
23.44,-10.02,0.0,0.0,157.538,1
1.17,8.56,26.64,22.77,65.481,0
23.44,-10.02,0.0,0.0,157.538,1
0.0,0.0,0.0,0.0,128.31,0
22.22,0.0,0.0,0.0,206.187,1
1.17,8.56,26.64,22.77,65.481,0
1.17,8.56,26.64,22.77,65.481,0
28.29,-0.12,0.0,0.0,129.366,1
0.0,0.0,0.0,0.0,128.31,0
21.29,10.02,0.0,0.0,135.819,1
1.17,8.56,26.64,22.77,65.481,0
0.0,0.0,0.0,0.0,128.31,0
21.29,10.02,0.0,0.0,135.819,1
24.65,0.0,0.0,0.0,109.006,0
28.29,-0.12,0.0,0.0,129.366,1
36.22,0.79,0.0,0.0,131.265,0
0.0,0.0,0.0,0.0,128.31,0
22.22,0.0,0.0,0.0,206.187,1
25.75,0.0,170.52,6.62,126.034,1
21.29,10.02,0.0,0.0,135.819,1
0.0,0.0,0.0,0.0,128.31,0
36.22,0.79,0.0,0.0,131.265,0
24.65,0.0,0.0,0.0,109.006,0
23.44,-10.02,0.0,0.0,157.538,1
24.65,0.0,0.0,0.0,109.006,0
22.22,0.0,0.0,0.0,206.187,1
25.75,0.0,170.52,6.62,126.034,1
0.0,0.0,0.0,0.0,128.31,0
36.22,0.79,0.0,0.0,131.265,0
22.22,0.0,0.0,0.0,206.187,1
21.29,10.02,0.0,0.0,135.819,1
21.29,10.02,0.0,0.0,135.819,1
0.0,0.0,0.0,0.0,128.31,0
21.29,10.02,0.0,0.0,135.819,1
36.22,0.79,0.0,0.0,131.265,0
1.17,8.56,26.64,22.77,65.481,0
23.44,-10.02,0.0,0.0,157.538,1
25.75,0.0,170.52,6.62,126.034,1
36.22,0.79,0.0,0.0,131.265,0
36.22,0.79,0.0,0.0,131.265,0
23.44,-10.02,0.0,0.0,157.538,1
23.44,-10.02,0.0,0.0,157.538,1
21.29,10.02,0.0,0.0,135.819,1
23.44,-10.02,0.0,0.0,157.538,1
22.22,0.0,0.0,0.0,206.187,1
0.0,0.0,0.0,0.0,128.31,0
22.22,0.0,0.0,0.0,206.187,1
21.29,10.02,0.0,0.0,135.819,1
21.29,10.02,0.0,0.0,135.819,1
13.08,8.11,456.29,34.88,104.833,0
23.44,-10.02,0.0,0.0,157.538,1
22.22,0.0,0.0,0.0,206.187,1
21.29,10.02,0.0,0.0,135.819,1
13.08,8.11,456.29,34.88,104.833,0
24.65,0.0,0.0,0.0,109.006,0
22.22,0.0,0.0,0.0,206.187,1
28.29,-0.12,0.0,0.0,129.366,1
22.22,0.0,0.0,0.0,206.187,1
28.29,-0.12,0.0,0.0,129.366,1
13.08,8.11,456.29,34.88,104.833,0
36.22,0.79,0.0,0.0,131.265,0
28.29,-0.12,0.0,0.0,129.366,1
28.29,-0.12,0.0,0.0,129.366,1
13.08,8.11,456.29,34.88,104.833,0
23.44,-10.02,0.0,0.0,157.538,1
23.44,-10.02,0.0,0.0,157.538,1
13.08,8.11,456.29,34.88,104.833,0
24.65,0.0,0.0,0.0,109.006,0
1.17,8.56,26.64,22.77,65.481,0
